cell,destination,ore,search,started,wall_s,rc,rows_out,evaluable,best_obj,winner,winner_name,spectral,vehicle,propellant,conc_ratio,power_source,programme_missions,fleet_ships,missions_per_ship,trips_per_ship,programme_span_yr,payload_kg,saturation,p_mining,aerocapture_share,rtg_share,isru_share,prop_shares,vehicle_shares,calc_version,catalog_date,archive
cislunar__raw__search-off,cislunar,raw,off,2026-08-23 14:58:26,732.8,0,650921,650921,26.7863,2021 CX5,2021 CX5,D,New Glenn,Xenon  (Hall / ion),1.0,solar,1.0,1.0,1.0,5.0,5.2435,93311.51,0.6873,0.85,0.0,5.4388,8.1127,Xenon  (Hall / ion)=42.64%; Iodine  (Hall / gridded)=25.19%; Water  (gridded ion / ECR)=15.58%; hydrolox  (LH2 / LOX)=8.11%; Krypton  (Hall)=8.01%; methalox  (LCH4 / LOX)=0.18%,Falcon Heavy (reusable side cores)=66.42%; SLS Block 1B (Cargo)=31.60%; New Glenn=1.67%; Vulcan Centaur VC6=0.13%; H3 (24L)=0.07%; Long March 7=0.04%,1.17.7,2026-08-23,campaign\cells\cislunar__raw__search-off.csv.gz
cislunar__raw__search-on,cislunar,raw,on,2026-08-23 15:12:23,1252.6,0,650921,650921,15.4272,2021 CX5,2021 CX5,D,New Glenn,Iodine  (Hall / gridded),1.0,solar,5.0,1.0,5.0,5.0,12.6324,68431.93,0.7253,0.8858,0.0,6.6584,5.2884,Xenon  (Hall / ion)=40.44%; Iodine  (Hall / gridded)=26.00%; Water  (gridded ion / ECR)=18.44%; Krypton  (Hall)=9.29%; hydrolox  (LH2 / LOX)=5.29%; Argon  (Hall / ion)=0.24%,Falcon Heavy (reusable side cores)=71.48%; SLS Block 1B (Cargo)=25.67%; New Glenn=2.45%; Vulcan Centaur VC6=0.22%; H3 (24L)=0.09%; Long March 7=0.03%,1.17.7,2026-08-23,campaign\cells\cislunar__raw__search-on.csv.gz
cislunar__benef__search-off,cislunar,benef,off,2026-08-23 15:34:20,3424.1,0,660253,660253,20.5895,2021 CX5,2021 CX5,D,New Glenn,Iodine  (Hall / gridded),3.5186,solar,1.0,1.0,1.0,3.0,6.9662,62282.75,0.7736,0.85,0.0,10.8346,10.3353,Xenon  (Hall / ion)=59.24%; Iodine  (Hall / gridded)=17.08%; Water  (gridded ion / ECR)=12.54%; hydrolox  (LH2 / LOX)=10.34%; Krypton  (Hall)=0.47%; methalox  (LCH4 / LOX)=0.21%,Falcon Heavy (reusable side cores)=64.86%; SLS Block 1B (Cargo)=30.20%; New Glenn=4.28%; Vulcan Centaur VC6=0.33%; H3 (24L)=0.10%; Long March 5=0.07%,1.17.7,2026-08-23,campaign\cells\cislunar__benef__search-off.csv.gz
cislunar__benef__search-on,cislunar,benef,on,2026-08-23 16:32:29,5691.9,0,660253,660253,13.1443,2021 CX5,2021 CX5,D,New Glenn,Argon  (Hall / ion),3.9249,solar,10.0,2.0,5.0,5.0,17.1187,34572.55,0.7121,0.9024,0.0,12.6642,9.8018,Xenon  (Hall / ion)=48.94%; Iodine  (Hall / gridded)=26.48%; Water  (gridded ion / ECR)=13.80%; hydrolox  (LH2 / LOX)=9.80%; Krypton  (Hall)=0.38%; methalox  (LCH4 / LOX)=0.33%,New Glenn=36.57%; Falcon Heavy (reusable side cores)=36.41%; SLS Block 1B (Cargo)=25.65%; Vulcan Centaur VC6=0.61%; H3 (24L)=0.43%; Long March 5=0.19%,1.17.7,2026-08-23,campaign\cells\cislunar__benef__search-on.csv.gz
lunar_surface__raw__search-off,lunar_surface,raw,off,2026-08-23 18:08:27,571.6,0,586054,586054,63.3505,2021 CX5,2021 CX5,D,Falcon Heavy (reusable side cores),Iodine  (Hall / gridded),1.0,solar,1.0,1.0,1.0,5.0,4.6221,43500.0,0.5838,0.85,0.0,3.957,3.7619,Xenon  (Hall / ion)=42.26%; Krypton  (Hall)=22.64%; Water  (gridded ion / ECR)=20.67%; Iodine  (Hall / gridded)=10.29%; hydrolox  (LH2 / LOX)=3.76%; Hydrazine arcjet=0.16%,Falcon Heavy (reusable side cores)=67.98%; SLS Block 1B (Cargo)=30.96%; New Glenn=0.64%; Vulcan Centaur VC6=0.19%; H3 (24L)=0.07%; Long March 7=0.05%,1.17.7,2026-08-23,campaign\cells\lunar_surface__raw__search-off.csv.gz
lunar_surface__raw__search-on,lunar_surface,raw,on,2026-08-23 18:18:56,867.2,0,586054,586054,38.9904,2021 CX5,2021 CX5,D,New Glenn,Iodine  (Hall / gridded),1.0,solar,5.0,1.0,5.0,5.0,12.2279,34472.29,0.6198,0.8858,0.0,4.2708,3.5732,Xenon  (Hall / ion)=37.93%; Krypton  (Hall)=26.31%; Water  (gridded ion / ECR)=20.87%; Iodine  (Hall / gridded)=10.89%; hydrolox  (LH2 / LOX)=3.57%; Argon  (Hall / ion)=0.19%,Falcon Heavy (reusable side cores)=72.53%; SLS Block 1B (Cargo)=26.03%; New Glenn=1.00%; Vulcan Centaur VC6=0.20%; H3 (24L)=0.10%; Long March 7=0.04%,1.17.7,2026-08-23,campaign\cells\lunar_surface__raw__search-on.csv.gz
lunar_surface__benef__search-off,lunar_surface,benef,off,2026-08-23 18:34:20,2659.6,0,606304,606304,35.8051,2021 CX5,2021 CX5,D,New Glenn,Iodine  (Hall / gridded),3.9249,solar,1.0,1.0,1.0,5.0,5.7463,32006.12,0.7265,0.85,0.0,9.6562,2.125,Xenon  (Hall / ion)=47.32%; Iodine  (Hall / gridded)=24.42%; Water  (gridded ion / ECR)=19.44%; Krypton  (Hall)=6.40%; hydrolox  (LH2 / LOX)=2.12%; methalox  (LCH4 / LOX)=0.20%,Falcon Heavy (reusable side cores)=53.73%; SLS Block 1B (Cargo)=33.10%; New Glenn=10.27%; Vulcan Centaur VC6=1.35%; Long March 5=0.43%; H3 (24L)=0.33%,1.17.7,2026-08-23,campaign\cells\lunar_surface__benef__search-off.csv.gz
lunar_surface__benef__search-on,lunar_surface,benef,on,2026-08-23 19:19:39,4508.4,0,606304,606304,22.5790,2021 CX5,2021 CX5,D,New Glenn,Iodine  (Hall / gridded),3.9249,solar,5.0,1.0,5.0,5.0,16.4897,32006.12,0.7265,0.8858,0.0,12.005,2.2571,Xenon  (Hall / ion)=37.26%; Iodine  (Hall / gridded)=31.86%; Water  (gridded ion / ECR)=19.76%; Krypton  (Hall)=8.51%; hydrolox  (LH2 / LOX)=2.26%; methalox  (LCH4 / LOX)=0.18%,Falcon Heavy (reusable side cores)=39.19%; New Glenn=28.35%; SLS Block 1B (Cargo)=24.24%; Vulcan Centaur VC6=3.63%; Long March 5=2.20%; H3 (24L)=0.97%,1.17.7,2026-08-23,campaign\cells\lunar_surface__benef__search-on.csv.gz
leo__raw__search-off,leo,raw,off,2026-08-23 20:35:48,1175.0,0,776755,776755,71.1029,2018 DT,2018 DT,M,Falcon Heavy (reusable side cores),Xenon  (Hall / ion),1.0,solar,1.0,1.0,1.0,4.0,6.2883,98664.8,0.8777,0.85,93.107,8.2398,1.9318,Xenon  (Hall / ion)=76.04%; Iodine  (Hall / gridded)=13.56%; Krypton  (Hall)=4.36%; hydrolox  (LH2 / LOX)=1.95%; methalox  (LCH4 / LOX)=1.77%; Argon  (Hall / ion)=0.94%,Falcon Heavy (reusable side cores)=69.55%; SLS Block 1B (Cargo)=21.33%; New Glenn=8.80%; Vulcan Centaur VC6=0.24%; H3 (24L)=0.02%; Long March 5=0.01%,1.17.7,2026-08-23,campaign\cells\leo__raw__search-off.csv.gz
leo__raw__search-on,leo,raw,on,2026-08-23 20:56:39,2064.0,0,776755,776755,36.6889,2021 CX5,2021 CX5,D,Falcon Heavy (reusable side cores),hydrolox  (LH2 / LOX),1.0,solar,20.0,4.0,5.0,5.0,11.065,39727.62,0.7837,0.918,90.236,7.9833,1.9485,Xenon  (Hall / ion)=71.36%; Iodine  (Hall / gridded)=16.19%; Krypton  (Hall)=4.83%; Argon  (Hall / ion)=2.28%; hydrolox  (LH2 / LOX)=2.06%; methalox  (LCH4 / LOX)=1.86%,Falcon Heavy (reusable side cores)=73.98%; SLS Block 1B (Cargo)=16.39%; New Glenn=9.28%; Vulcan Centaur VC6=0.18%; Falcon 9 (reusable)=0.06%; H3 (24L)=0.04%,1.17.7,2026-08-23,campaign\cells\leo__raw__search-on.csv.gz
leo__benef__search-off,leo,benef,off,2026-08-23 21:32:22,8833.5,0,882429,882429,48.2714,2021 CX5,2021 CX5,D,Falcon Heavy (reusable side cores),hydrolox  (LH2 / LOX),4.4444,solar,1.0,1.0,1.0,4.0,4.9032,35124.98,0.9499,0.85,97.283,12.9871,1.1131,Xenon  (Hall / ion)=74.85%; Iodine  (Hall / gridded)=11.61%; methalox  (LCH4 / LOX)=11.11%; hydrolox  (LH2 / LOX)=1.20%; Water  (gridded ion / ECR)=0.51%; FEEP  (indium field emission)=0.43%,Falcon Heavy (reusable side cores)=62.81%; SLS Block 1B (Cargo)=26.71%; New Glenn=8.57%; Vulcan Centaur VC6=1.79%; Long March 5=0.06%; H3 (24L)=0.02%,1.17.7,2026-08-23,campaign\cells\leo__benef__search-off.csv.gz
leo__benef__search-on,leo,benef,on,2026-08-24 00:01:14,15316.1,0,882429,882429,24.4678,2021 CX5,2021 CX5,D,New Glenn,hydrolox  (LH2 / LOX),3.9249,solar,25.0,5.0,5.0,5.0,14.4154,26227.59,0.8266,0.9227,98.1619,13.1572,1.2816,Iodine  (Hall / gridded)=42.74%; Xenon  (Hall / ion)=42.14%; methalox  (LCH4 / LOX)=11.45%; hydrolox  (LH2 / LOX)=1.58%; Water  (gridded ion / ECR)=0.99%; FEEP  (indium field emission)=0.34%,Falcon Heavy (reusable side cores)=58.76%; SLS Block 1B (Cargo)=20.05%; New Glenn=16.81%; Vulcan Centaur VC6=3.00%; Long March 5=0.96%; Ariane 6 (A64)=0.31%,1.17.7,2026-08-24,campaign\cells\leo__benef__search-on.csv.gz
mars_surface__raw__search-off,mars_surface,raw,off,2026-08-24 04:18:02,1190.8,0,731322,731322,74.6748,8651,Alineraynal,M,New Glenn,Iodine  (Hall / gridded),1.0,solar,1.0,1.0,1.0,5.0,5.4862,26187.28,0.4563,0.85,82.0019,6.5063,2.0631,Xenon  (Hall / ion)=57.81%; Iodine  (Hall / gridded)=19.94%; Krypton  (Hall)=15.37%; hydrolox  (LH2 / LOX)=2.05%; Argon  (Hall / ion)=1.81%; methalox  (LCH4 / LOX)=1.60%,Falcon Heavy (reusable side cores)=79.94%; SLS Block 1B (Cargo)=10.72%; New Glenn=5.70%; Vulcan Centaur VC6=2.61%; Ariane 6 (A64)=0.45%; Long March 5=0.33%,1.17.7,2026-08-24,campaign\cells\mars_surface__raw__search-off.csv.gz
mars_surface__raw__search-on,mars_surface,raw,on,2026-08-24 04:39:03,1955.3,0,731322,731322,41.8068,2014 YN,2014 YN,M,H3 (24L),FEEP  (indium field emission),1.0,solar,5.0,1.0,5.0,5.0,10.116,12458.72,0.58,0.8858,82.9182,6.2377,2.0626,Xenon  (Hall / ion)=49.09%; Iodine  (Hall / gridded)=28.51%; Krypton  (Hall)=14.65%; Argon  (Hall / ion)=2.67%; hydrolox  (LH2 / LOX)=2.05%; methalox  (LCH4 / LOX)=1.61%,Falcon Heavy (reusable side cores)=80.23%; SLS Block 1B (Cargo)=9.96%; New Glenn=5.52%; Vulcan Centaur VC6=2.78%; Ariane 6 (A64)=0.54%; Falcon 9 (reusable)=0.46%,1.17.7,2026-08-24,campaign\cells\mars_surface__raw__search-on.csv.gz
mars_surface__benef__search-off,mars_surface,benef,off,2026-08-24 05:12:51,7128.2,0,892563,892563,55.3403,2001 UU92,2001 UU92,T,Falcon Heavy (reusable side cores),Xenon  (Hall / ion),7.9042,solar,1.0,1.0,1.0,3.0,7.0101,22859.8,0.6825,0.85,87.4072,15.3038,0.6615,Xenon  (Hall / ion)=59.92%; methalox  (LCH4 / LOX)=15.23%; Iodine  (Hall / gridded)=14.71%; Argon  (Hall / ion)=5.60%; Water  (gridded ion / ECR)=2.21%; Krypton  (Hall)=1.52%,Falcon Heavy (reusable side cores)=43.44%; New Glenn=27.68%; SLS Block 1B (Cargo)=23.31%; Vulcan Centaur VC6=3.80%; Long March 5=0.83%; Ariane 6 (A64)=0.34%,1.17.7,2026-08-24,campaign\cells\mars_surface__benef__search-off.csv.gz
mars_surface__benef__search-on,mars_surface,benef,on,2026-08-24 07:13:09,12185.8,0,892563,892563,30.6818,2014 YN,2014 YN,M,Long March 7,Krypton  (Hall),2.2222,solar,5.0,1.0,5.0,5.0,10.116,7343.86,0.5359,0.8858,90.5625,15.4241,0.689,Xenon  (Hall / ion)=47.87%; Iodine  (Hall / gridded)=23.23%; methalox  (LCH4 / LOX)=15.23%; Argon  (Hall / ion)=6.96%; Water  (gridded ion / ECR)=4.77%; Krypton  (Hall)=1.11%,Falcon Heavy (reusable side cores)=40.98%; New Glenn=28.63%; SLS Block 1B (Cargo)=23.09%; Vulcan Centaur VC6=4.45%; Long March 5=1.48%; H3 (24L)=0.61%,1.17.7,2026-08-24,campaign\cells\mars_surface__benef__search-on.csv.gz
earth_surface__raw__search-off,earth_surface,raw,off,2026-08-24 10:37:48,1154.1,0,784242,784242,42953.9782,2016 PN38,2016 PN38,M,Falcon Heavy (reusable side cores),Xenon  (Hall / ion),1.0,solar,1.0,1.0,1.0,5.0,4.7458,78251.2,1.0,0.85,95.7488,8.4609,1.8939,Xenon  (Hall / ion)=74.67%; Iodine  (Hall / gridded)=13.46%; Krypton  (Hall)=5.46%; hydrolox  (LH2 / LOX)=1.92%; methalox  (LCH4 / LOX)=1.73%; Argon  (Hall / ion)=1.39%,Falcon Heavy (reusable side cores)=66.47%; SLS Block 1B (Cargo)=23.35%; New Glenn=9.86%; Vulcan Centaur VC6=0.25%; H3 (24L)=0.02%; Long March 5=0.02%,1.17.7,2026-08-24,campaign\cells\earth_surface__raw__search-off.csv.gz
earth_surface__raw__search-on,earth_surface,raw,on,2026-08-24 10:58:17,1838.1,0,784242,784242,12977.8837,2016 PN38,2016 PN38,M,Falcon Heavy (reusable side cores),Iodine  (Hall / gridded),1.0,solar,320.0,64.0,5.0,5.0,10.5674,61277.57,1.0,0.9477,91.8025,8.4725,1.9076,Xenon  (Hall / ion)=71.57%; Iodine  (Hall / gridded)=16.07%; Krypton  (Hall)=5.70%; hydrolox  (LH2 / LOX)=2.01%; methalox  (LCH4 / LOX)=1.76%; Argon  (Hall / ion)=1.44%,Falcon Heavy (reusable side cores)=71.37%; SLS Block 1B (Cargo)=18.34%; New Glenn=10.07%; Vulcan Centaur VC6=0.10%; Falcon 9 (reusable)=0.04%; Ariane 6 (A64)=0.03%,1.17.7,2026-08-24,campaign\cells\earth_surface__raw__search-on.csv.gz
earth_surface__benef__search-off,earth_surface,benef,off,2026-08-24 11:30:12,7713.5,0,912846,912846,25839.4840,2016 PN38,2016 PN38,M,Falcon Heavy (reusable side cores),Xenon  (Hall / ion),2.2222,solar,1.0,1.0,1.0,5.0,5.9777,75707.65,1.0,0.85,96.4633,9.9212,0.0005,Xenon  (Hall / ion)=64.03%; Iodine  (Hall / gridded)=20.09%; methalox  (LCH4 / LOX)=12.26%; Water  (gridded ion / ECR)=1.23%; Krypton  (Hall)=0.90%; FEEP  (indium field emission)=0.49%,Falcon Heavy (reusable side cores)=37.60%; New Glenn=29.88%; SLS Block 1B (Cargo)=20.62%; Ariane 6 (A64)=2.69%; Vulcan Centaur VC6=2.68%; Falcon 9 (reusable)=2.19%,1.17.7,2026-08-24,campaign\cells\earth_surface__benef__search-off.csv.gz
earth_surface__benef__search-on,earth_surface,benef,on,2026-08-24 13:40:15,13580.7,0,912846,912846,7869.8772,2016 PN38,2016 PN38,M,Falcon Heavy (reusable side cores),Iodine  (Hall / gridded),2.2222,solar,320.0,64.0,5.0,5.0,15.318,58807.55,1.0,0.9477,97.283,10.7626,0.0037,Iodine  (Hall / gridded)=47.31%; Xenon  (Hall / ion)=35.50%; methalox  (LCH4 / LOX)=12.43%; Krypton  (Hall)=1.51%; Water  (gridded ion / ECR)=1.46%; FEEP  (indium field emission)=0.45%,Falcon Heavy (reusable side cores)=46.48%; New Glenn=25.55%; SLS Block 1B (Cargo)=19.00%; Vulcan Centaur VC6=1.99%; H3 (24L)=1.89%; Falcon 9 (reusable)=1.65%,1.17.7,2026-08-24,campaign\cells\earth_surface__benef__search-on.csv.gz
