cell                                         cycle%     cal%   window%    dig%  cadence med  span med   W<trips
cislunar__benef__search-off                  57.66%   42.34%    34.13%  65.87%      2.0895   6.9590   99.721%
cislunar__benef__search-on                   75.08%   24.92%    37.59%  62.41%      1.9029  14.8358    0.210%
cislunar__raw__search-off                    96.11%    3.89%    92.31%   7.69%      1.3838   5.9772  100.000%
cislunar__raw__search-on                     98.04%    1.96%    95.77%   4.23%      1.3802  11.4925    0.319%
earth_surface__benef__search-off             29.53%   70.47%    17.03%  82.97%      3.3244   7.4800   99.846%
earth_surface__benef__search-on              47.66%   52.34%    18.97%  81.03%      2.5571  16.5667    0.268%
earth_surface__raw__search-off               98.65%    1.35%    86.48%  13.52%      1.3685   5.3468  100.000%
earth_surface__raw__search-on                98.75%    1.25%    91.45%   8.55%      1.3673  10.7286    0.234%
leo__benef__search-off                       49.54%   50.46%    25.37%  74.63%      2.5639   6.8889   99.802%
leo__benef__search-on                        77.89%   22.11%    32.73%  67.27%      2.0512  14.6404    0.161%
leo__raw__search-off                         98.70%    1.30%    88.67%  11.33%      1.3689   5.3726  100.000%
leo__raw__search-on                          98.89%    1.11%    94.05%   5.95%      1.3680  10.7481    0.215%
lunar_surface__benef__search-off             75.24%   24.76%    42.73%  57.27%      1.6223   7.5344   99.821%
lunar_surface__benef__search-on              93.51%    6.49%    51.08%  48.92%      1.5114  13.3113    0.177%
lunar_surface__raw__search-off               96.09%    3.91%    96.21%   3.79%      1.3841   6.8226  100.000%
lunar_surface__raw__search-on                96.36%    3.64%    96.41%   3.59%      1.3838  12.3309    0.225%
mars_surface__benef__search-off              19.21%   80.79%    63.18%  36.82%      3.9895   7.8599   99.983%
mars_surface__benef__search-on               21.44%   78.56%    76.18%  23.82%      3.9251  18.6604    3.705%
mars_surface__raw__search-off                80.99%   19.01%    99.95%   0.05%      3.7979   6.2350  100.000%
mars_surface__raw__search-on                 85.24%   14.76%    99.97%   0.03%      3.7978  21.3801    3.785%
