ts,cell,n_python,total_rss_gb,max_proc_rss_gb,sys_used_gb
2026-09-09 00:45:41,cislunar__raw__search-off,7,0.622,0.389,28.711
2026-09-09 00:46:03,cislunar__raw__search-off,11,2.216,1.043,30.341
2026-09-09 00:46:24,cislunar__raw__search-off,21,3.634,1.762,31.402
2026-09-09 00:46:47,cislunar__raw__search-off,22,3.839,1.829,31.565
2026-09-09 00:47:10,cislunar__raw__search-off,22,4.13,2.117,31.895
2026-09-09 00:47:33,cislunar__raw__search-off,22,4.254,2.242,32.014
2026-09-09 00:47:56,cislunar__raw__search-off,22,4.392,2.379,32.135
2026-09-09 00:48:19,cislunar__raw__search-off,22,4.527,2.512,32.198
2026-09-09 00:48:42,cislunar__raw__search-off,22,4.664,2.647,32.344
2026-09-09 00:49:06,,22,4.799,2.785,32.262
2026-09-09 00:49:29,,22,4.935,2.919,32.389
2026-09-09 00:49:53,,22,5.063,3.048,32.509
2026-09-09 00:50:16,,22,5.196,3.18,32.695
2026-09-09 00:50:39,,22,5.338,3.317,32.846
2026-09-09 00:51:02,,22,5.479,3.461,32.992
2026-09-09 00:51:25,,22,5.621,3.598,33.129
2026-09-09 00:51:48,,22,5.766,3.745,33.229
2026-09-09 00:52:11,,22,5.923,3.9,33.382
2026-09-09 00:52:35,,22,6.087,4.063,33.551
2026-09-09 00:52:57,,22,6.258,4.232,33.735
2026-09-09 00:53:20,,22,6.436,4.412,33.933
2026-09-09 00:53:43,,22,6.642,4.616,34.157
2026-09-09 00:54:06,,22,6.891,4.865,34.39
2026-09-09 00:54:29,,22,7.195,5.172,34.703
2026-09-09 00:54:52,,22,7.518,5.494,35.015
2026-09-09 00:55:15,,22,7.821,5.797,35.327
2026-09-09 00:55:37,,22,8.095,6.071,35.604
2026-09-09 00:56:00,,22,8.285,6.261,35.83
2026-09-09 00:56:23,,22,8.39,6.367,35.922
2026-09-09 00:56:46,,22,8.434,6.41,35.962
2026-09-09 00:57:10,,22,8.476,6.452,35.995
2026-09-09 00:57:34,,22,8.487,6.466,36.023
2026-09-09 00:57:57,,22,8.495,6.474,35.996
2026-09-09 00:58:19,,10,8.002,7.347,35.866
2026-09-09 00:58:41,,10,7.83,7.174,36.286
2026-09-09 00:59:04,,21,13.589,7.174,40.11
2026-09-09 00:59:27,,21,13.604,7.176,40.129
2026-09-09 00:59:51,,21,13.601,7.174,40.108
2026-09-09 01:00:14,,21,13.601,7.174,40.096
2026-09-09 01:00:37,,21,13.602,7.174,40.078
2026-09-09 01:00:59,,21,13.602,7.174,40.076
2026-09-09 01:01:23,,21,13.61,7.181,40.085
2026-09-09 01:01:45,cislunar__raw__search-off,20,6.452,0.552,32.923
2026-09-09 01:02:09,cislunar__raw__search-off,20,6.451,0.552,32.97
2026-09-09 01:02:32,cislunar__raw__search-off,20,6.451,0.552,32.981
2026-09-09 01:02:55,cislunar__raw__search-off,20,8.12,1.706,34.77
2026-09-09 01:03:17,cislunar__raw__search-off,20,9.585,3.17,36.077
2026-09-09 01:03:41,cislunar__raw__search-on,21,7.254,0.822,33.865
2026-09-09 01:04:04,cislunar__raw__search-on,21,9.166,2.734,35.722
2026-09-09 01:04:27,cislunar__raw__search-on,22,8.303,1.762,34.839
2026-09-09 01:04:49,cislunar__raw__search-on,28,8.949,1.762,35.235
2026-09-09 01:05:16,cislunar__raw__search-on,33,9.535,1.762,35.61
2026-09-09 01:05:45,cislunar__raw__search-on,33,9.569,1.781,35.661
2026-09-09 01:06:11,cislunar__raw__search-on,33,9.587,1.796,35.675
2026-09-09 01:06:40,,33,9.601,1.809,35.688
2026-09-09 01:07:08,,33,9.613,1.821,35.73
2026-09-09 01:07:35,,33,9.63,1.837,35.763
2026-09-09 01:08:03,,33,9.664,1.869,35.79
2026-09-09 01:08:33,,33,9.74,1.945,35.868
2026-09-09 01:09:02,,33,9.843,2.043,35.97
2026-09-09 01:09:29,,33,9.907,2.109,36.026
2026-09-09 01:09:58,,33,9.936,2.137,36.075
2026-09-09 01:10:27,,33,9.963,2.161,36.07
2026-09-09 01:10:58,,33,9.989,2.191,36.357
2026-09-09 01:11:27,,33,10.014,2.213,36.066
2026-09-09 01:11:54,,33,10.042,2.239,36.066
2026-09-09 01:12:20,,33,10.076,2.273,36.06
2026-09-09 01:12:48,,33,10.098,2.297,36.095
2026-09-09 01:13:14,,33,10.127,2.323,36.133
2026-09-09 01:13:42,,33,10.156,2.355,36.132
2026-09-09 01:14:09,,33,10.186,2.381,36.095
2026-09-09 01:14:37,,33,10.211,2.408,36.155
2026-09-09 01:15:06,,33,10.241,2.438,36.183
2026-09-09 01:15:34,,33,10.271,2.466,36.275
2026-09-09 01:16:01,,33,10.298,2.494,36.189
2026-09-09 01:16:30,,33,10.321,2.518,36.157
2026-09-09 01:16:57,,33,10.349,2.545,36.215
2026-09-09 01:17:25,,33,10.379,2.576,36.279
2026-09-09 01:17:53,,33,10.404,2.599,36.295
2026-09-09 01:18:20,,33,10.434,2.629,36.271
2026-09-09 01:18:48,,33,10.462,2.657,36.255
2026-09-09 01:19:15,,33,10.487,2.683,36.233
2026-09-09 01:19:43,,33,10.512,2.711,36.258
2026-09-09 01:20:10,,33,10.538,2.735,36.307
2026-09-09 01:20:39,,33,10.564,2.763,36.252
2026-09-09 01:21:05,,33,10.592,2.787,36.338
2026-09-09 01:21:32,,33,10.617,2.81,36.362
2026-09-09 01:22:00,,33,10.639,2.834,36.428
2026-09-09 01:22:27,,33,10.663,2.857,36.437
2026-09-09 01:22:53,,33,10.685,2.88,36.376
2026-09-09 01:23:17,,33,10.712,2.909,36.433
2026-09-09 01:23:42,,33,10.742,2.937,36.369
2026-09-09 01:24:09,,33,10.771,2.965,36.372
2026-09-09 01:24:34,,33,10.791,2.991,36.326
2026-09-09 01:25:00,,33,10.821,3.018,36.238
2026-09-09 01:25:26,,33,10.849,3.045,36.197
2026-09-09 01:25:52,,33,10.879,3.073,36.173
2026-09-09 01:26:18,,33,10.906,3.1,36.238
2026-09-09 01:26:46,,33,10.93,3.126,36.311
2026-09-09 01:27:12,,33,10.958,3.151,36.342
2026-09-09 01:27:39,,33,10.981,3.178,36.275
2026-09-09 01:28:06,,33,11.011,3.203,36.275
2026-09-09 01:28:33,,33,11.032,3.227,36.298
2026-09-09 01:29:02,,33,11.062,3.254,36.383
2026-09-09 01:29:30,,33,11.082,3.277,36.445
2026-09-09 01:30:00,,33,11.108,3.302,36.457
2026-09-09 01:30:28,,33,11.131,3.323,36.503
2026-09-09 01:30:55,,33,11.15,3.346,36.324
2026-09-09 01:31:23,,33,11.177,3.373,36.28
2026-09-09 01:31:52,,33,11.206,3.398,36.314
2026-09-09 01:32:20,,33,11.229,3.421,36.17
2026-09-09 01:32:48,,33,11.253,3.447,36.02
2026-09-09 01:33:17,,33,11.28,3.472,36.051
2026-09-09 01:33:46,,33,11.305,3.501,36.0
2026-09-09 01:34:14,,33,11.331,3.524,35.865
2026-09-09 01:34:45,,33,11.355,3.551,35.785
2026-09-09 01:35:10,,33,11.381,3.574,35.919
2026-09-09 01:35:38,,33,11.413,3.607,36.001
2026-09-09 01:36:07,,33,11.44,3.634,35.921
2026-09-09 01:36:35,,33,11.462,3.655,35.852
2026-09-09 01:37:02,,22,5.727,3.695,31.596
2026-09-09 01:37:27,,22,5.771,3.738,31.546
2026-09-09 01:37:51,,22,5.816,3.782,31.644
2026-09-09 01:38:15,,22,5.866,3.832,31.589
2026-09-09 01:38:38,,22,5.913,3.88,31.667
2026-09-09 01:39:02,,22,5.956,3.925,31.678
